study_id,item_id,item_filename,tester_id,tester_external_id,tester_display_name,tester_quality_grade,item_question,tester_item_answer,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,notes
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,25.940476190476,44.972222222222,31228,31450,222,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,37.282958553792,44.972222222222,31644,31768,124,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,32.655659038041,55.535446792733,31978,32115,137,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,37.202380952381,52.666666666667,32183,32356,173,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,62.899583817267,50.888888888889,32445,32650,205,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,62.899583817267,42.888888888889,32714,32951,237,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,50.34126984127,39.333333333333,33236,33336,100,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,36.690476190476,39.333333333333,33420,33571,151,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,64.333333333333,45.222222222222,33777,33965,188,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,38.311507936508,43.555555555556,34076,34269,193,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,32.509920634921,53.444444444444,34408,34576,168,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,51.876984126984,53.80056980057,34835,35085,250,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,53.335912698413,47.453703703704,35302,35462,160,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,32.574859658193,56.444444444444,35551,35716,165,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,46.160714285714,53.888888888889,36466,36614,148,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,43.60119047619,53.828282828283,36643,36803,160,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,43.60119047619,52,36838,36995,157,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,42.96130952381,52.195767195767,37061,37165,104,
